type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m,barrier
barrier,110,1.0,0.02,4.7758654188576,0.6458231794386652,0.3686997145135324,0.2562806008316494,0.20562508744720367,0.17492592376726976,0.7333816782017699,0.4170977838867964,0.2881887602138736,0.22975681690386945,0.194131961714254,0.8022295115959736,0.4538757162504466,0.3109470755611842,0.2455833417936408,0.20534976965455468,0.8384395512591845,0.4705364966391267,0.3179189137644278,0.24698647074039345,0.2024533507038022,0.8545599254511187,0.4732035833629751,0.31166419089557895,0.2336536693937705,0.1814489932910949,153.21550624706137
barrier,115,0.75,0.02,3.555013896066288,0.6967425929796299,0.3978906398276527,0.2767008689852416,0.2221173415423735,0.18905121850742804,0.759004467782094,0.4318043612743412,0.2984957849249847,0.23809744580218842,0.20128993369015918,0.7955904524418557,0.4500492134350239,0.3082469900443485,0.24338186106128837,0.2034443817554519,0.8322094544340454,0.4669082582568712,0.31531215836838944,0.24481412699042387,0.20052159201238767,0.8733364867259048,0.4843937759375608,0.32007629005124943,0.24114209742733772,0.18885667547944693,154.77912613912304
barrier,80,1.0,0.02,21.41680114059012,0.39149349914125414,0.22311290010460524,0.15466625814740986,0.12374946998736383,0.1049698493414201,0.45681754010620534,0.25862607962300665,0.17741139336602904,0.14035549184850835,0.11761876867584697,0.5357349537336856,0.30025446605831496,0.20249439392407761,0.15707801268867772,0.12863535538507523,0.6295028524085519,0.3482307613980273,0.22914176298004715,0.17188772450240725,0.13409131960939483,0.730604403444914,0.39838661130986947,0.2537078466361524,0.17884534493265908,0.11596742511531338,138.27932606164217
barrier,120,0.75,0.02,1.3112815503203115,0.5693394300557838,0.3248770473941848,0.22564992979761575,0.1809078510655774,0.15377478112165244,0.5995826473757618,0.3403588065554277,0.2344672864582497,0.18633568920210264,0.15691107907425333,0.6488324661549515,0.3654566614482121,0.24854160687125498,0.19468065070282434,0.16126413640479126,0.7244896126965615,0.40402665527226583,0.2699259600907652,0.20674811823862732,0.1663522341845705,0.8171735352414602,0.450831258623002,0.2946927962134575,0.21829904446618817,0.16572209296295978,158.2653855697322
barrier,100,1.0,0.02,6.592487724004565,0.3978360385293484,0.22673826543178457,0.1571908791688931,0.1257789693398946,0.10669971298721298,0.4915027890658853,0.278464693335499,0.1912402500165828,0.15148271236586267,0.12711190560285543,0.5769186108577419,0.3239989195975453,0.21926702736905487,0.17078074520273645,0.14053454335727675,0.658440257285054,0.36527631933538773,0.24167456998671388,0.182699557279036,0.14425735258828945,0.7332596609191582,0.4000127484930725,0.2550145455997446,0.1801885174399847,0.1182700044901394,136.09142637810098
barrier,100,0.5,0.02,6.871815600746874,0.406554898351369,0.2317224214072176,0.1606622780199388,0.12856993996788238,0.10907914029206273,0.5060371161684489,0.28678177338326605,0.19704179341584938,0.15615474236545873,0.1311013233461773,0.5956584068532238,0.3348027308142344,0.22689707452668767,0.17701175238738626,0.14594165836159909,0.6702959886792729,0.37224649896313133,0.24677842070086356,0.18707337165923155,0.1483213200610315,0.7375906772123108,0.4026622851678037,0.2571373371051568,0.18235331589975384,0.1217797737321059,138.6124938365881
barrier,115,1.0,0.02,2.4021140399418814,0.5978668486321922,0.3412187181970074,0.2370684636084467,0.19011880403213105,0.16165401815355615,0.6339936152208228,0.36008465946629487,0.24826510746268884,0.1974786293046273,0.16645443028447415,0.6719042117777884,0.37875638391737,0.25793070579234256,0.2023424825886153,0.16790462684946217,0.7058304240138213,0.39309811115376997,0.26198666157599887,0.2000261134187061,0.1602307856048746,0.7132410041735968,0.3877174583052788,0.24505518143949465,0.16971495523084526,0.09495850399978052,157.08723810268873
barrier,105,1.0,0.02,5.793907366291879,0.4996279925452271,0.2849628256341876,0.1977817719297248,0.15844522334371847,0.13457515185900298,0.6314779213358775,0.3586422981224185,0.24725589164837714,0.1966633686153495,0.16575598288774937,0.7263004360771046,0.4101115903334658,0.2800628232131647,0.22039784213203875,0.18354563844828511,0.786669977566585,0.4403618307194373,0.29620438033932217,0.2288503381669249,0.18627402104136861,0.8139689082373368,0.4489072077237532,0.2932221192219487,0.2169497814100918,0.1642948167351253,140.9577297424211
barrier,120,1.0,0.02,2.3048314300081683,0.6977118629441968,0.3984464041101444,0.27708977560287873,0.22243151435457986,0.1893204034398168,0.7465051932832143,0.4246298605478041,0.29346716896788383,0.23402763357229756,0.19779685699222896,0.8037448941366381,0.4547491222254576,0.3115633681661989,0.24608581883102298,0.20578465234294963,0.8655997297565065,0.48634518615584743,0.3292651049919291,0.25642862696124047,0.21083383404818284,0.9304075789623633,0.5182552451185272,0.3452887643688046,0.26323593855328176,0.21007049027452537,167.61890216041454
barrier,110,1.0,0.02,2.4706824009240433,0.37170046058622486,0.21180156560072624,0.14679135507018218,0.11742063180591365,0.09957718065799508,0.5039278412492103,0.28557463245899845,0.19619955065235237,0.15547639792927745,0.1305219816074501,0.6379525419761019,0.35918477438190993,0.24411354967004778,0.19106667682224387,0.15813117931153053,0.7571909963005514,0.42314986207475613,0.28377705358134,0.2184228612077769,0.17690896237067907,0.8724911163277355,0.4838905509497827,0.31969897457822954,0.24080765844471547,0.18852869677720813,138.999662233838
